split,bin,n,mean_predicted_pd,observed_default_rate
Random test,0,160,0.02928380918230597,0.03125
Random test,1,160,0.04860756728391175,0.0625
Random test,2,160,0.06166772595424088,0.075
Random test,3,160,0.07540058364624122,0.0625
Random test,4,160,0.09141738363828895,0.11875
Random test,5,160,0.11075796817443875,0.125
Random test,6,160,0.13264253691722178,0.125
Random test,7,160,0.16274565228572727,0.1875
Random test,8,160,0.20420484083814272,0.175
Random test,9,160,0.3184059599239836,0.26875
Out-of-time test,0,160,0.034595546204742984,0.05
Out-of-time test,1,160,0.051371115714002505,0.075
Out-of-time test,2,160,0.06636093081248574,0.11875
Out-of-time test,3,160,0.08014418204284388,0.04375
Out-of-time test,4,160,0.0963092078386082,0.09375
Out-of-time test,5,160,0.11619703875154097,0.1375
Out-of-time test,6,160,0.13726340141862853,0.1625
Out-of-time test,7,160,0.1663527804510415,0.25
Out-of-time test,8,160,0.20522110118526996,0.3125
Out-of-time test,9,160,0.31281529638873484,0.38125
