feature,ks,pvalue
debt_to_income,0.025625,0.010459709422191087
loan_to_land,0.0185,0.1293661853347738
payment_history,0.018,0.14968085519586768
savings_ratio,0.0075,0.9780493476159207
credit_utilization,0.023375,0.025270824954361275
prior_default,0.001125,0.9999999999999998
annual_income_log,0.010625,0.7572567645000413
drought_risk,0.025875,0.009435832242193791
soil_moisture,0.01725,0.1848680563674757
ndvi_current,0.0175,0.17248126965471672
ndvi_anomaly,0.022125,0.03983296491292794
rainfall_deviation,0.0145,0.3696283161524428
temperature_stress,0.01675,0.2117164990081575
flood_risk,0.015875,0.26572355663427155
climate_debt_stress,0.02425,0.01810584163891342
farmer_age,0.0155,0.2917248762534338
education_level,0.0135,0.45956581875892777
family_size,0.016125,0.24935266921406046
land_size_log,0.01425,0.3910280745097985
irrigation_access,0.010125,0.8068095320507316
insurance_coverage,0.0035,0.9999999998700485
crop_diversification,0.014875,0.33895739518334844
soil_health,0.015375,0.30078083691081364
market_distance_log,0.015,0.32912060684686223
price_volatility,0.01025,0.794725568972975
price_trend,0.013125,0.49606339644759223
repo_rate,0.016375,0.23374067402592008
wpi_inflation,0.016125,0.24935266921406046
