n,experiment,auc
1000,Full,0.7228116710875332
1000,No climate,0.730106100795756
1000,No financial,0.6702033598585323
2000,Full,0.7323913508884607
2000,No climate,0.7397238278741168
2000,No financial,0.7262363519588952
4000,Full,0.6952243919150394
4000,No climate,0.6957588215142173
4000,No financial,0.6699965741692361
8000,Full,0.6710457286959416
8000,No climate,0.6647683897087822
8000,No financial,0.6455962748425239
16000,Full,0.713687639014331
16000,No climate,0.7095291449375788
16000,No financial,0.701109661775231
32000,Full,0.6955107687100358
32000,No climate,0.6945858666129742
32000,No financial,0.6758762209856004
