n,seed,experiment,auc
1000,101,Full,0.6646352522886823
1000,101,No climate,0.6705033232334418
1000,102,Full,0.6764481307681718
1000,102,No climate,0.678646288959186
1000,103,Full,0.6751727966126908
1000,103,No climate,0.6759738165371592
1000,104,Full,0.6712888244119077
1000,104,No climate,0.6743921901549843
1000,105,Full,0.6755313518255583
1000,105,No climate,0.6874692374131072
1000,106,Full,0.6782420572046691
1000,106,No climate,0.6827094936537689
1000,107,Full,0.6761615527624167
1000,107,No climate,0.6870128328976843
1000,108,Full,0.6605448446759615
1000,108,No climate,0.6674899346383351
2000,101,Full,0.6841132634774727
2000,101,No climate,0.6891138410319659
2000,102,Full,0.6804914182349642
2000,102,No climate,0.679978916159501
2000,103,Full,0.6858877914814672
2000,103,No climate,0.6901166046544644
2000,104,Full,0.6802379077897315
2000,104,No climate,0.6814926029152822
2000,105,Full,0.672593459222995
2000,105,No climate,0.6822478560728339
2000,106,Full,0.6741289579371834
2000,106,No climate,0.6841511355334869
2000,107,Full,0.6906390540656644
2000,107,No climate,0.6943445155747872
2000,108,Full,0.6892504195305764
2000,108,No climate,0.6955596694768754
4000,101,Full,0.6901870480320301
4000,101,No climate,0.6897392374733325
4000,102,Full,0.6924291910409286
4000,102,No climate,0.6951918210614602
4000,103,Full,0.6955432033655649
4000,103,No climate,0.6950986183601788
4000,104,Full,0.6908889555001988
4000,104,No climate,0.6907997227106857
4000,105,Full,0.69855336640736
4000,105,No climate,0.697924067723176
4000,106,Full,0.6948754236048112
4000,106,No climate,0.6975117156945883
4000,107,Full,0.6955654890066263
4000,107,No climate,0.6995794758178124
4000,108,Full,0.6950168517115474
4000,108,No climate,0.6941551552947153
8000,101,Full,0.6954128729667257
8000,101,No climate,0.695674864587099
8000,102,Full,0.6961227202584305
8000,102,No climate,0.6970593262035673
8000,103,Full,0.6961689607080014
8000,103,No climate,0.6962096071909899
8000,104,Full,0.6978018350420908
8000,104,No climate,0.6977159405874734
8000,105,Full,0.6973865732486277
8000,105,No climate,0.6995428669155427
8000,106,Full,0.6964090727010168
8000,106,No climate,0.6967983947300865
8000,107,Full,0.6998891289357193
8000,107,No climate,0.6990111468581115
8000,108,Full,0.6955509852948829
8000,108,No climate,0.6956875186808597
16000,101,Full,0.6994382507179281
16000,101,No climate,0.6988509293394277
16000,102,Full,0.700135308577971
16000,102,No climate,0.6988017114560308
16000,103,Full,0.7010014034765915
16000,103,No climate,0.6998337757341353
16000,104,Full,0.6977562036130752
16000,104,No climate,0.6966273952919418
16000,105,Full,0.6973066562179793
16000,105,No climate,0.6973746409570067
16000,106,Full,0.6997394903296446
16000,106,No climate,0.6992438152665619
16000,107,Full,0.7015003266493026
16000,107,No climate,0.6998867379661317
16000,108,Full,0.7001635265303677
16000,108,No climate,0.6987055538772402
32000,101,Full,0.7013142821478098
32000,101,No climate,0.6998674523152131
32000,102,Full,0.7003088794362382
32000,102,No climate,0.6991676651408295
32000,103,Full,0.6989578913939959
32000,103,No climate,0.6983118108100652
32000,104,Full,0.7014203419497035
32000,104,No climate,0.7002030000848795
32000,105,Full,0.7002690675369736
32000,105,No climate,0.6992532889196447
32000,106,Full,0.7007383065966919
32000,106,No climate,0.6995575285215041
32000,107,Full,0.6996152952489924
32000,107,No climate,0.6985616671319659
32000,108,Full,0.7020471819953493
32000,108,No climate,0.7012044328846828
