n,experiment,mean,std,count
1000,Full,0.6722531013187573,0.0063702223753371754,8
1000,No climate,0.6780246396859584,0.007341400457674821,8
2000,Full,0.6821677839675069,0.006572393914948678,8
2000,No climate,0.6871256426773996,0.005995129594695525,8
4000,Full,0.6941324410836334,0.0027751460254702804,8
4000,No climate,0.6949999767669937,0.00342070839963893,8
8000,Full,0.696842768644437,0.0014817811522915207,8
8000,No climate,0.6972124582192163,0.0014545408186573605,8
16000,Full,0.6996301457641075,0.0014578188975739473,8
16000,No climate,0.6986655699860596,0.0011380100836163763,8
32000,Full,0.7005839057882193,0.0010110096617138766,8
32000,No climate,0.6995158557260981,0.0009257579919928847,8
