feature,mean,sd,p05,median,p95,skew,kurtosis,in_reference_range
debt_to_income,0.37808569496822775,0.171596954832983,0.12102859101013598,0.3626999441085858,0.6867225844539829,0.4117590456122568,-0.3050461840572414,0.897625
loan_to_land,0.13229696564917198,0.08504972890005748,0.034515179111138765,0.11314262202815623,0.2961943860585857,1.7664913785295413,6.480713249047028,
payment_history,0.6690053747122722,0.1389087078698518,0.43903635053164747,0.6689585665346134,0.9000939705307393,-0.06395540568635494,-0.14374646540787728,0.9725
savings_ratio,0.16359461712476753,0.12013294488736777,0.0008088252835951905,0.14174019798981286,0.39282020243700466,0.8221414182040858,0.3345723942547396,
credit_utilization,0.45391264524611286,0.17237585258431368,0.186355011365798,0.44555358620631835,0.7482273753084792,0.20230505551598774,-0.15173873972772833,0.9835
prior_default,0.028,0.16498303678046164,0.0,0.0,0.0,5.722158010632691,30.743092298647866,
annual_income_log,11.775620127502958,0.677888648984278,10.66537525878846,11.77752088747164,12.914189933536884,0.08852988522730085,-0.1232192778918102,
drought_risk,0.4132055580239941,0.2600961960012738,0.0,0.4119182274902954,0.8419305453833461,0.12129148077676491,-0.8876809233318768,1.0
soil_moisture,0.5893570809228874,0.22120248421164568,0.21672064954885095,0.5976735196770774,0.9373100103121834,-0.145592746826029,-0.8023465069517677,0.99825
ndvi_current,0.5765451516775071,0.09814190747773223,0.41329821560774116,0.577886387814343,0.7324864277097892,-0.07468518461889093,-0.1558620433141873,0.999875
ndvi_anomaly,-0.11265648494926699,0.45472679929013504,-0.863137589005322,-0.10315161869306712,0.6117523372785925,-0.051483230531887775,-0.233974108486946,
rainfall_deviation,-0.18577168409080747,0.36568971782416815,-0.7990390359273594,-0.18573312111481224,0.4274063955469327,0.10071367014056226,-0.19201230566921446,
temperature_stress,0.37493680159863185,0.1758214187114906,0.08297483305728161,0.375175107910548,0.6679352672688837,0.1209900315539503,-0.2413943619376071,
flood_risk,0.2085704780111619,0.14085505044956556,0.03147907160728757,0.18384254461986477,0.4741786585342707,0.9516931707258474,0.8682280896047581,
climate_debt_stress,0.382963805818118,0.21036266528143616,0.0,0.3827030822351962,0.7335112386388469,0.09837829701108214,-0.3614609076328472,
farmer_age,45.302578542967005,11.75042484508171,25.417977173828938,45.13000199895282,65.17330281820318,0.10190232370180763,-0.3380986171015481,
education_level,2.811875,1.082418790570347,1.0,3.0,5.0,0.09971884395365455,-0.6475026302227591,
family_size,4.23725,2.0166112113139705,1.0,4.0,8.0,0.5465019247562796,0.054301813826216794,
land_size_log,1.3303719237804175,0.4056227546347314,0.718300203704698,1.3080111059381836,2.044020853634472,0.3721239524734004,-0.07599798076350561,
irrigation_access,0.58575,0.4926228498141554,0.0,1.0,1.0,-0.34815827122044946,-1.878785818180788,1.0
insurance_coverage,0.529875,0.4991378834584066,0.0,1.0,1.0,-0.11971388408973241,-1.98566858595615,1.0
crop_diversification,0.432905613125869,0.1752662145493288,0.16957269048378784,0.41782201466552193,0.7464971589067696,0.3707785412689616,-0.3927571244400041,
soil_health,0.6564723677407215,0.16188885167071299,0.3841640678831714,0.6633111263899838,0.9150089477928418,-0.13423638158819612,-0.48789734876641466,
market_distance_log,2.674973678368935,0.6435746556822268,1.5288774794431317,2.7184718038684252,3.656599888675133,-0.3927089542877833,0.06654527566984214,
price_volatility,0.28037713752397814,0.13555592519208406,0.09291224125839964,0.2601301194437348,0.5399299149048943,0.6721363939112498,0.11761428945982466,1.0
price_trend,-0.02312187418885968,0.09255892021896375,-0.177512414723384,-0.02235075170824736,0.12746767404697223,-0.029204904938545728,0.007540223639404875,
repo_rate,5.730039666833494,0.46694408399654336,4.995083681241644,5.720248782764642,6.473020745304212,0.025707581129436823,-0.8625600279632231,
wpi_inflation,4.68849260045191,1.2101003865287356,2.7054872674444814,4.686700344360459,6.660192049786844,0.005372126048474581,-0.4831157589082977,
