seed,experiment,auc,delta
20260916,Full,0.6710457286959416,0.0
20260916,No climate,0.6647683897087822,-0.006277338987159431
20260916,No financial,0.6455962748425239,-0.02544945385341768
20260916,No compound,0.6708937700576358,-0.00015195863830574918
20260916,No farm/market,0.6617726336964662,-0.009273094999475373
20260916,No macro,0.6725255163880156,0.0014797876920740194
20260917,Full,0.6883127074952488,0.0
20260917,No climate,0.6851395016360776,-0.0031732058591711354
20260917,No financial,0.6561268463451835,-0.032185861150065276
20260917,No compound,0.6911139999795277,0.002801292484278961
20260917,No farm/market,0.68441955923147,-0.003893148263778734
20260917,No macro,0.6805639435101116,-0.00774876398513713
20260918,Full,0.7070534446022726,0.0
20260918,No climate,0.7047858960700758,-0.0022675485321967948
20260918,No financial,0.6617653586647727,-0.04528808593749989
20260918,No compound,0.7065910570549242,-0.0004623875473483974
20260918,No farm/market,0.700875946969697,-0.006177497632575579
20260918,No macro,0.7061471650094697,-0.0009062795928028722
20260919,Full,0.7191594653235442,0.0
20260919,No climate,0.715483480068104,-0.0036759852554402173
20260919,No financial,0.6938743733731396,-0.025285091950404626
20260919,No compound,0.7189123687087678,-0.00024709661477639866
20260919,No farm/market,0.7171319191283243,-0.0020275461952199425
20260919,No macro,0.7209669939850591,0.001807528661514901
20260920,Full,0.691041224516046,0.0
20260920,No climate,0.6968226083247866,0.005781383808740603
20260920,No financial,0.6660573873425606,-0.0249838371734854
20260920,No compound,0.6900122194353335,-0.001029005080712464
20260920,No farm/market,0.6697333725980009,-0.021307851918045073
20260920,No macro,0.6910784582525191,3.723373647313011e-05
20260921,Full,0.7044180852856902,0.0
20260921,No climate,0.7014368784763189,-0.0029812068093713062
20260921,No financial,0.6811372829934266,-0.02328080229226359
20260921,No compound,0.704590145513793,0.00017206022810278832
20260921,No farm/market,0.7046463284454183,0.00022824315972813647
20260921,No macro,0.700868026293612,-0.0035500589920781644
20260922,Full,0.7096032026534718,0.0
20260922,No climate,0.7075709586210647,-0.0020322440324070934
20260922,No financial,0.6829529389375237,-0.02665026371594803
20260922,No compound,0.7113499809689522,0.001746778315480424
20260922,No farm/market,0.7019567995215051,-0.007646403131966628
20260922,No macro,0.7046925126420532,-0.004910690011418528
20260923,Full,0.6871379198005638,0.0
20260923,No climate,0.6869148288219379,-0.0002230909786259394
20260923,No financial,0.6762772843807985,-0.010860635419765341
20260923,No compound,0.6871343786739188,-3.5411266450235956e-06
20260923,No farm/market,0.6681326930976359,-0.019005226702927924
20260923,No macro,0.6832568449978045,-0.0038810748027593434
20260924,Full,0.6788233544384481,0.0
20260924,No climate,0.6778070510913752,-0.0010163033470729221
20260924,No financial,0.6575907590759076,-0.02123259536254052
20260924,No compound,0.6776477003923568,-0.0011756540460913234
20260924,No farm/market,0.6707991614612105,-0.008024192977237554
20260924,No macro,0.6734125129251123,-0.005410841513335818
20260925,Full,0.6932235073022981,0.0
20260925,No climate,0.6919139918230255,-0.001309515479272605
20260925,No financial,0.6635744774433459,-0.029649029858952236
20260925,No compound,0.6942764510464461,0.0010529437441479939
20260925,No farm/market,0.6987947792650053,0.005571271962707236
20260925,No macro,0.6898480895402034,-0.0033754177620947123
