split,model,fpr,tpr
Random test,Logistic regression,0.0,0.0
Random test,Logistic regression,0.0,0.005076142131979695
Random test,Logistic regression,0.003563791874554526,0.005076142131979695
Random test,Logistic regression,0.003563791874554526,0.015228426395939087
Random test,Logistic regression,0.0042765502494654314,0.015228426395939087
Random test,Logistic regression,0.0042765502494654314,0.02030456852791878
Random test,Logistic regression,0.007127583749109052,0.02030456852791878
Random test,Logistic regression,0.007127583749109052,0.025380710659898477
Random test,Logistic regression,0.010691375623663579,0.025380710659898477
Random test,Logistic regression,0.010691375623663579,0.03553299492385787
Random test,Logistic regression,0.011404133998574484,0.03553299492385787
Random test,Logistic regression,0.011404133998574484,0.04060913705583756
Random test,Logistic regression,0.012829650748396294,0.04060913705583756
Random test,Logistic regression,0.012829650748396294,0.04568527918781726
Random test,Logistic regression,0.014255167498218105,0.04568527918781726
Random test,Logistic regression,0.014255167498218105,0.050761421319796954
Random test,Logistic regression,0.01496792587312901,0.050761421319796954
Random test,Logistic regression,0.01496792587312901,0.05583756345177665
Random test,Logistic regression,0.01781895937277263,0.05583756345177665
Random test,Logistic regression,0.01781895937277263,0.06598984771573604
Random test,Logistic regression,0.018531717747683536,0.06598984771573604
Random test,Logistic regression,0.018531717747683536,0.08629441624365482
Random test,Logistic regression,0.024946543121881683,0.08629441624365482
Random test,Logistic regression,0.024946543121881683,0.09644670050761421
Random test,Logistic regression,0.026372059871703494,0.09644670050761421
Random test,Logistic regression,0.026372059871703494,0.10152284263959391
Random test,Logistic regression,0.0270848182466144,0.10152284263959391
Random test,Logistic regression,0.0270848182466144,0.1065989847715736
Random test,Logistic regression,0.02851033499643621,0.1065989847715736
Random test,Logistic regression,0.02851033499643621,0.1116751269035533
Random test,Logistic regression,0.03207412687099073,0.1116751269035533
Random test,Logistic regression,0.03207412687099073,0.116751269035533
Random test,Logistic regression,0.03421240199572345,0.116751269035533
Random test,Logistic regression,0.03421240199572345,0.12690355329949238
Random test,Logistic regression,0.039201710620099785,0.12690355329949238
Random test,Logistic regression,0.039201710620099785,0.1319796954314721
Random test,Logistic regression,0.03991446899501069,0.1319796954314721
Random test,Logistic regression,0.03991446899501069,0.13705583756345177
Random test,Logistic regression,0.041339985744832504,0.13705583756345177
Random test,Logistic regression,0.041339985744832504,0.14720812182741116
Random test,Logistic regression,0.043478260869565216,0.14720812182741116
Random test,Logistic regression,0.043478260869565216,0.15228426395939088
Random test,Logistic regression,0.04490377761938703,0.15228426395939088
Random test,Logistic regression,0.04490377761938703,0.15736040609137056
Random test,Logistic regression,0.04918032786885246,0.15736040609137056
Random test,Logistic regression,0.04918032786885246,0.16243654822335024
Random test,Logistic regression,0.05203136136849608,0.16243654822335024
Random test,Logistic regression,0.05203136136849608,0.16751269035532995
Random test,Logistic regression,0.05274411974340699,0.16751269035532995
Random test,Logistic regression,0.05274411974340699,0.17766497461928935
Random test,Logistic regression,0.05915894511760513,0.17766497461928935
Random test,Logistic regression,0.05915894511760513,0.18274111675126903
Random test,Logistic regression,0.06486101211689238,0.18274111675126903
Random test,Logistic regression,0.06486101211689238,0.18781725888324874
Random test,Logistic regression,0.06699928724162509,0.18781725888324874
Random test,Logistic regression,0.06699928724162509,0.19289340101522842
Random test,Logistic regression,0.07341411261582323,0.19289340101522842
Random test,Logistic regression,0.07341411261582323,0.19796954314720813
Random test,Logistic regression,0.07483962936564505,0.19796954314720813
Random test,Logistic regression,0.07483962936564505,0.20304568527918782
Random test,Logistic regression,0.07626514611546685,0.20304568527918782
Random test,Logistic regression,0.07626514611546685,0.20812182741116753
Random test,Logistic regression,0.07982893799002139,0.20812182741116753
