split,threshold,flag_rate,sensitivity,specificity,precision,net_benefit
Random test,0.05,0.844375,0.934010152284264,0.16821097647897362,0.13619541080680977,0.07661184210526316
Random test,0.1,0.503125,0.7208121827411168,0.5274411974340698,0.1763975155279503,0.04270833333333333
Random test,0.15,0.28625,0.49238578680203043,0.7426942266571632,0.21179039301310043,0.02080882352941176
Random test,0.2,0.15125,0.29949238578680204,0.8695652173913043,0.24380165289256198,0.008281249999999997
Random test,0.25,0.078125,0.18274111675126903,0.9365645046329294,0.288,0.003958333333333331
Random test,0.3,0.04625,0.12690355329949238,0.9650748396293657,0.33783783783783783,0.0025000000000000005
Out-of-time test,0.05,0.86,0.9576923076923077,0.15895522388059702,0.18095930232558138,0.11855263157894738
Out-of-time test,0.1,0.52625,0.7730769230769231,0.5216417910447761,0.23871733966745842,0.0811111111111111
Out-of-time test,0.15,0.301875,0.5807692307692308,0.7522388059701492,0.31262939958592134,0.057757352941176475
Out-of-time test,0.2,0.155625,0.36923076923076925,0.8858208955223881,0.3855421686746988,0.036093749999999994
Out-of-time test,0.25,0.084375,0.20384615384615384,0.9388059701492537,0.3925925925925926,0.01604166666666667
Out-of-time test,0.3,0.044375,0.11538461538461539,0.9694029850746269,0.4225352112676056,0.007767857142857142
