x,y,default,region
-18.16248,-15.70509,0,UP
-11.261538,-13.613295,0,Gujarat
14.076854,18.98731,0,Maharashtra
-5.6648703,14.421843,0,MP
-8.641806,-2.7184231,0,AP
-7.69086,-15.260475,0,UP
16.378305,15.502854,0,Karnataka
5.045154,22.114515,0,Maharashtra
-9.786516,-4.9624906,0,Karnataka
-7.053875,12.684137,0,Maharashtra
5.813442,12.806982,0,AP
6.825006,21.341177,0,Karnataka
-10.318784,-0.07120152,1,MP
-9.8444805,-12.178649,1,Karnataka
13.635292,3.758856,0,WB
-13.905859,-7.994056,0,Gujarat
-21.85664,-5.42281,0,UP
-10.848491,-18.413862,0,Punjab
-6.4987097,-4.9702816,0,AP
5.063126,-4.8436837,0,Karnataka
-1.5282696,22.954502,0,Karnataka
6.5741215,19.935726,0,Karnataka
-2.9592326,7.145008,0,Gujarat
-8.889891,-19.17982,0,Punjab
5.1343403,-10.431118,0,MP
-1.3772668,-3.5931504,0,Karnataka
-11.595196,-2.0375793,0,Maharashtra
-10.579888,-23.810537,0,Punjab
8.6827345,-7.2528267,0,Gujarat
-19.377491,-6.7674513,0,Punjab
15.664516,-8.840917,0,Gujarat
0.9351779,15.940404,0,AP
-11.001214,0.46136448,0,Karnataka
-8.5307455,-7.930338,0,WB
-15.443202,2.1466463,0,Maharashtra
-6.4100738,-6.5531445,0,WB
8.620843,12.238327,0,Karnataka
-12.997033,1.6359246,0,MP
0.09551974,8.448161,0,UP
18.30277,17.269688,1,Maharashtra
2.68663,4.813773,0,WB
11.109192,-5.8393464,0,Karnataka
-4.402866,-19.606289,0,Punjab
12.650811,22.958992,0,MP
14.324585,17.39471,0,Karnataka
0.6684611,-13.456065,0,WB
-5.9017534,0.70038694,0,AP
-10.68343,-20.026426,0,UP
-1.3996706,22.003704,0,Gujarat
-8.124653,-4.041959,0,Karnataka
7.7047734,8.019662,0,AP
4.854844,5.914034,0,Gujarat
5.102862,-10.194462,0,Gujarat
-14.695394,-18.699484,0,WB
7.5115714,24.65033,0,Gujarat
-7.808814,-21.203806,0,Gujarat
-16.426598,-19.648842,0,Punjab
4.7376018,-9.417159,0,Maharashtra
-0.4815396,1.2781268,0,Gujarat
1.1935761,23.123251,1,Karnataka
1.6757603,-3.5058239,0,MP
-9.893029,-25.629637,0,Gujarat
7.4684596,24.829731,0,Gujarat
1.1177452,12.590267,0,Maharashtra
-2.2102728,-17.275438,0,WB
7.7197013,14.888724,0,Gujarat
-13.055146,8.627364,1,Gujarat
6.2294145,19.319683,0,MP
-4.0168376,4.201666,0,MP
-0.7423747,-23.433868,1,WB
-6.1108017,-7.8774858,0,WB
9.856174,2.4153955,0,Maharashtra
-9.143631,-15.111617,0,UP
-4.5837507,-1.8678184,0,Maharashtra
12.344674,17.444239,0,Karnataka
4.006495,-4.7144256,0,MP
-5.625648,-16.222319,0,WB
9.21697,14.175745,0,MP
-6.67664,12.812533,0,Gujarat
12.9213705,20.255661,0,Maharashtra
-7.786636,-8.799967,0,WB
19.609318,7.8926735,1,Maharashtra
3.7504947,14.611098,0,AP
0.5565548,21.042482,0,MP
11.479888,10.855052,1,Maharashtra
-2.4149678,8.483432,0,AP
8.374771,26.075596,0,MP
-17.777637,-4.8347583,0,MP
-13.553191,-6.8188434,0,Punjab
0.54355985,17.89871,0,Gujarat
-5.24813,-2.1441567,0,Maharashtra
9.60185,9.966821,1,AP
5.596299,17.64833,0,MP
-7.3339777,13.648923,0,AP
-13.730029,-20.494293,0,WB
14.109273,4.3493376,1,AP
-2.9384828,7.268257,0,MP
-1.4076949,-23.65407,0,UP
-11.134822,-14.985011,0,UP
-5.341972,-9.833089,0,WB
-11.194307,-16.84605,0,WB
-6.3690295,-11.602684,0,UP
7.660638,10.520055,1,UP
-4.6292505,17.130493,1,Maharashtra
-1.8699083,13.883545,0,Maharashtra
-20.04585,-3.8335037,0,MP
-12.127333,-13.037704,0,WB
3.3435066,-1.9812894,1,AP
5.1526628,25.67025,0,Maharashtra
2.923796,-3.28761,0,Maharashtra
-11.822772,-12.476494,0,UP
10.3253765,-12.923604,1,Karnataka
7.0808907,11.2464485,0,Maharashtra
-7.731189,-13.082029,0,Gujarat
